index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
3031,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,Y535,0.458823529411765,#956355,True,535.0,124.0
3032,Anastasia Beverly Hills,Luminous Foundation,,540W,0.231372549019608,#552E21,True,540.0,91.0
3033,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,Suede,540,0.370588235294118,#A04C1D,True,540.0,120.0
3034,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede W,540,0.317647058823529,#7C4726,True,540.0,88.0
3035,Juvia's Place,I Am Magic Foundation,Giza,540,0.63921568627451,#DBA26B,False,540.0,93.0
3036,CoverGirl,Clean Fresh Skin Milk Foundation,Light,540,0.770588235294118,#E7BEA2,True,540.0,130.0
3037,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,540C,0.347058823529412,#77453A,True,540.0,98.0
3038,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,R540,0.337254901960784,#72493A,True,540.0,125.0
3039,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,R540Dark,0.550980392156863,#AD816C,True,540.0,126.0
3040,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,540G,0.496078431372549,#A07A5D,True,540.0,100.0
3041,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,540C,0.331372549019608,#774432,True,540.0,116.0
3042,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R540,0.374509803921569,#7B5F44,True,540.0,123.0
3043,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,R540,0.46078431372549,#876D64,True,540.0,124.0
3044,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Chocolate Truffle,540G,0.235294117647059,#69400F,True,540.0,101.0
3045,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,540,0.441176470588235,#8F5B52,True,540.0,117.0
3046,MAKE UP FOR EVER,Water Blend Face & Body Foundation,,R540,0.42156862745098,#826355,True,540.0,129.0
3047,Origins,Pretty in Bloom™ SPF 20 Flower-Infused Long-Wear Foundation,,540,0.635294117647059,#CCA178,True,540.0,102.0
3048,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y545,0.413725490196078,#85644E,True,545.0,122.0
3049,Anastasia Beverly Hills,Luminous Foundation,,550W,0.219607843137255,#4E2F22,True,550.0,91.0
3050,Lancôme,Teint Idole Ultra Longwear Foundation Stick SPF 21,Suede C,550,0.272549019607843,#733D18,True,550.0,110.0
3051,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,Suede,550,0.313725490196078,#833C1D,True,550.0,120.0
3052,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,550,0.294117647058824,#724024,True,550.0,88.0
3053,Juvia's Place,I Am Magic Foundation,Martinique,550,0.756862745098039,#F3C48F,False,550.0,93.0
3054,CoverGirl,Clean Fresh Skin Milk Foundation,Light/Medium,550,0.768627450980392,#EAC29E,True,550.0,130.0
3055,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,Suede C,550,0.303921568627451,#684033,True,550.0,89.0
3056,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,R550,0.288235294117647,#643E2F,True,550.0,122.0
3057,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,550C,0.354901960784314,#744641,True,550.0,98.0
3058,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,R550,0.301960784313725,#703E2A,True,550.0,125.0
3059,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,550R,0.476470588235294,#986F5B,True,550.0,100.0
3060,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,550O,0.307843137254902,#6D3F30,True,550.0,116.0
3061,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R550,0.349019607843137,#715241,True,550.0,123.0
3062,HUDA BEAUTY,#FauxFilter Full Coverage Matte Foundation,Hot Fudge,550R,0.315686274509804,#714C30,True,550.0,101.0
3063,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,550,0.452941176470588,#985E4F,True,550.0,117.0
3064,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,552,0.266666666666667,#5D392B,True,552.0,88.0
3065,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,555,0.296078431372549,#724025,True,555.0,88.0
3066,Anastasia Beverly Hills,Luminous Foundation,,560W,0.213725490196078,#4A2D23,True,560.0,91.0
3067,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Suede C,560,0.241176470588235,#583523,True,560.0,88.0
3068,CoverGirl,Clean Fresh Skin Milk Foundation,Medium,560,0.754901960784314,#E9BA98,True,560.0,130.0
3069,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,R560,0.349019607843137,#6A5248,True,560.0,122.0
3070,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,560W,0.296078431372549,#623E35,True,560.0,98.0
3071,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,R560,0.301960784313725,#664334,True,560.0,125.0
3072,HUDA BEAUTY,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,,560R,0.452941176470588,#8C655B,True,560.0,100.0
3073,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,560W,0.3,#6A402F,True,560.0,116.0
